hdbscan_final,leiden_target13_final,true_label
3,6,Spermatogonia
10,1,Elongated_spermatid
10,1,Elongated_spermatid
2,10,SSC
4,4,Early_spermatocyte
13,2,Sperm1
9,7,Endothelial
5,9,Myoid
6,3,Leydig
8,7,Endothelial
4,4,Early_spermatocyte
13,0,Sperm2
5,9,Myoid
5,9,Myoid
13,0,Sperm2
6,3,Leydig
3,6,Spermatogonia
13,0,Sperm2
5,9,Myoid
0,8,Macrophage
5,9,Myoid
5,9,Myoid
6,3,Leydig
8,7,Endothelial
3,6,Sperm2
6,3,Leydig
7,12,Myoid
8,7,Endothelial
4,4,Early_spermatocyte
13,0,Sperm2
8,7,Endothelial
0,8,Macrophage
6,3,Leydig
7,12,Myoid
4,4,Early_spermatocyte
6,3,Leydig
4,4,Early_spermatocyte
7,12,Myoid
5,9,Myoid
0,8,Macrophage
13,0,Sperm2
0,8,Macrophage
8,7,Endothelial
1,5,Late_spermatocyte
5,9,Myoid
13,2,Sperm2
4,4,Early_spermatocyte
4,4,Early_spermatocyte
13,2,Elongated_spermatid
5,9,Myoid
6,3,Leydig
10,1,Round_spermatid
8,7,Endothelial
8,7,Endothelial
5,9,Myoid
5,9,Myoid
6,3,Leydig
3,6,Spermatogonia
4,4,Early_spermatocyte
13,2,Sperm1
13,0,Sperm1
4,4,Early_spermatocyte
13,0,Sperm2
5,9,Myoid
0,8,Macrophage
6,3,Leydig
8,7,Endothelial
13,2,Sperm2
8,7,Endothelial
8,7,Endothelial
4,4,Early_spermatocyte
8,7,Endothelial
13,0,Sperm2
6,3,Leydig
6,3,Leydig
4,4,Early_spermatocyte
8,7,Endothelial
10,1,Round_spermatid
8,7,Endothelial
6,3,Leydig
6,3,Leydig
8,7,Endothelial
13,2,Sperm1
13,0,Sperm2
0,8,Macrophage
2,10,SSC
6,3,Leydig
0,8,Macrophage
5,9,Myoid
3,6,Early_spermatocyte
13,0,Sperm2
6,3,Leydig
4,4,Early_spermatocyte
13,0,Sperm2
8,7,Endothelial
13,0,Sperm2
6,3,Myoid
5,9,Myoid
4,4,Early_spermatocyte
8,7,Endothelial
13,2,Sperm2
6,3,Leydig
11,1,Sertoli
13,2,Sperm1
3,6,Spermatogonia
8,7,Endothelial
0,8,Macrophage
8,7,Endothelial
0,8,Macrophage
6,3,Leydig
13,0,Sperm2
2,10,SSC
4,4,Early_spermatocyte
3,6,Spermatogonia
6,3,Leydig
10,1,Elongated_spermatid
8,7,Endothelial
13,0,Sperm2
13,0,Sperm1
5,9,Myoid
1,5,Round_spermatid
8,7,Endothelial
0,8,Macrophage
12,11,Elongated_spermatid
6,3,Leydig
5,9,Myoid
6,3,Leydig
3,6,Early_spermatocyte
4,4,Early_spermatocyte
5,9,Myoid
13,2,Sperm1
6,3,Leydig
5,9,Myoid
8,7,Endothelial
13,0,Sperm2
13,0,Sperm2
13,0,Sperm1
4,4,Early_spermatocyte
1,5,Late_spermatocyte
8,7,Endothelial
5,9,Myoid
3,6,Spermatogonia
4,4,Early_spermatocyte
7,12,Myoid
13,0,Sperm1
4,4,Late_spermatocyte
5,9,Myoid
8,7,Endothelial
1,5,Late_spermatocyte
8,7,Endothelial
2,10,SSC
8,7,Endothelial
1,5,Late_spermatocyte
2,10,SSC
0,8,Macrophage
6,3,Leydig
1,5,Late_spermatocyte
6,3,Leydig
13,0,Sperm2
10,1,Elongated_spermatid
3,6,Spermatogonia
13,2,Sperm1
8,7,Endothelial
4,4,Early_spermatocyte
0,8,Macrophage
3,6,Spermatogonia
6,3,Leydig
13,2,Elongated_spermatid
5,9,Myoid
5,9,Myoid
13,0,Sperm2
3,6,Spermatogonia
0,8,Macrophage
0,8,Macrophage
11,1,Sertoli
13,0,Sperm2
7,12,Myoid
4,4,Early_spermatocyte
5,9,Myoid
1,5,Late_spermatocyte
5,9,Myoid
2,10,SSC
6,3,Leydig
13,2,Sperm1
1,5,Late_spermatocyte
3,6,Spermatogonia
6,3,Leydig
5,9,Myoid
13,0,Sperm2
4,4,Early_spermatocyte
12,11,Elongated_spermatid
4,4,Early_spermatocyte
13,2,Sperm1
13,0,Sperm2
0,8,Macrophage
13,0,Sperm2
4,4,Early_spermatocyte
13,0,Sperm2
6,3,Leydig
6,3,Leydig
0,8,Macrophage
6,3,Leydig
2,10,SSC
2,10,SSC
3,6,Spermatogonia
8,7,Endothelial
4,4,Early_spermatocyte
13,0,Sperm2
2,10,SSC
0,8,Macrophage
10,1,Elongated_spermatid
13,0,Sperm2
0,8,Macrophage
6,3,Leydig
1,5,Round_spermatid
2,10,SSC
3,6,Spermatogonia
6,3,Leydig
1,5,Late_spermatocyte
10,1,Elongated_spermatid
13,2,Elongated_spermatid
13,2,Sperm1
4,4,Early_spermatocyte
1,5,Late_spermatocyte
3,6,Spermatogonia
4,4,Early_spermatocyte
0,8,Macrophage
10,1,Round_spermatid
4,4,Early_spermatocyte
0,8,Macrophage
13,2,Sperm1
10,1,Round_spermatid
10,1,Elongated_spermatid
13,0,Sperm2
1,5,Late_spermatocyte
1,5,Late_spermatocyte
9,7,Endothelial
8,7,Endothelial
13,0,Sperm2
3,6,Spermatogonia
4,4,Early_spermatocyte
2,10,SSC
6,3,Leydig
6,3,Leydig
6,3,Leydig
6,3,Leydig
1,5,Late_spermatocyte
4,4,Early_spermatocyte
3,6,Spermatogonia
8,7,Endothelial
0,8,Macrophage
13,2,Sperm1
13,2,Sperm1
3,6,Spermatogonia
6,3,Leydig
6,3,Leydig
6,3,Leydig
13,2,Sperm1
13,0,Sperm1
4,4,Early_spermatocyte
13,0,Sperm2
1,5,Late_spermatocyte
13,0,Sperm2
13,0,Sperm2
12,11,Elongated_spermatid
13,0,Sperm2
3,6,Spermatogonia
2,10,SSC
2,10,SSC
13,2,Sperm1
1,5,Late_spermatocyte
6,3,Leydig
13,0,Sperm2
6,3,Leydig
10,1,Round_spermatid
1,5,Late_spermatocyte
6,3,Leydig
13,0,Sperm2
6,3,Leydig
2,10,SSC
6,3,Macrophage
6,3,Leydig
1,5,Late_spermatocyte
2,10,SSC
13,2,Sperm2
13,2,Sperm1
13,0,Sperm2
2,10,SSC
6,3,Leydig
13,2,Sperm1
4,4,Early_spermatocyte
13,0,Sperm2
4,4,Early_spermatocyte
4,4,Early_spermatocyte
6,3,Leydig
8,7,Endothelial
3,6,Early_spermatocyte
4,4,Early_spermatocyte
2,10,SSC
13,0,Sperm2
4,4,Early_spermatocyte
10,1,Elongated_spermatid
1,5,Late_spermatocyte
13,0,Sperm2
2,10,SSC
0,8,Macrophage
13,2,Sperm1
1,5,Late_spermatocyte
13,0,Sperm2
4,4,Early_spermatocyte
0,8,Macrophage
3,6,Early_spermatocyte
3,6,Spermatogonia
13,0,Sperm1
3,6,Spermatogonia
8,7,Endothelial
13,0,Sperm2
12,11,Elongated_spermatid
13,2,Sperm1
3,6,Spermatogonia
4,4,Early_spermatocyte
3,6,Spermatogonia
13,0,Sperm2
13,0,Sperm2
10,1,Round_spermatid
6,3,Leydig
3,6,Spermatogonia
4,4,Early_spermatocyte
4,4,Early_spermatocyte
3,6,Spermatogonia
1,5,Late_spermatocyte
10,1,Round_spermatid
10,1,Elongated_spermatid
13,2,Sperm1
4,4,Early_spermatocyte
6,3,Leydig
10,1,Round_spermatid
3,6,Spermatogonia
3,6,Spermatogonia
3,6,Spermatogonia
8,7,Endothelial
0,8,Macrophage
13,0,Sperm2
2,10,SSC
4,4,Early_spermatocyte
13,0,Sperm2
2,10,SSC
10,1,Elongated_spermatid
3,6,Spermatogonia
5,9,Myoid
0,8,Macrophage
4,4,Early_spermatocyte
8,7,Endothelial
12,11,Elongated_spermatid
8,7,Endothelial
13,0,Sperm2
4,4,Early_spermatocyte
6,3,Leydig
6,3,Leydig
4,4,Early_spermatocyte
13,0,Sperm2
3,6,Spermatogonia
3,6,Spermatogonia
13,2,Sperm1
13,2,Sperm1
13,2,Sperm1
8,7,Endothelial
3,6,Spermatogonia
12,11,Elongated_spermatid
3,6,Early_spermatocyte
4,4,Early_spermatocyte
13,0,Sperm2
13,0,Sperm2
12,11,Elongated_spermatid
2,10,SSC
0,8,Macrophage
13,0,Sperm2
13,0,Sperm2
6,3,Leydig
13,2,Sperm1
6,3,Leydig
10,1,Round_spermatid
5,9,Myoid
10,1,Elongated_spermatid
13,0,Sperm2
13,0,Sperm2
2,10,SSC
1,5,Round_spermatid
6,3,Leydig
10,1,Elongated_spermatid
3,6,Spermatogonia
13,2,Sperm1
13,0,Sperm2
4,4,Early_spermatocyte
13,0,Sperm2
13,0,Sperm2
2,10,SSC
3,6,Early_spermatocyte
10,1,Elongated_spermatid
4,4,Early_spermatocyte
13,2,Sperm1
13,0,Sperm2
4,4,Early_spermatocyte
1,5,Late_spermatocyte
13,2,Sperm1
10,1,Elongated_spermatid
13,2,Sperm1
11,1,Sertoli
13,2,Sperm2
13,2,Sperm1
13,0,Sperm2
6,3,Leydig
13,0,Sperm1
13,0,Sperm2
8,7,Endothelial
13,2,Sperm1
12,11,Elongated_spermatid
8,7,Endothelial
0,8,Macrophage
12,11,Elongated_spermatid
1,5,Early_spermatocyte
1,5,Round_spermatid
2,10,SSC
6,3,Leydig
13,0,Sperm2
6,3,Leydig
14,2,Sperm2
13,2,Sperm1
12,11,Elongated_spermatid
4,4,Early_spermatocyte
6,3,Leydig
2,10,SSC
3,6,Early_spermatocyte
8,7,Endothelial
6,3,Leydig
3,6,Spermatogonia
4,4,Early_spermatocyte
8,7,Endothelial
10,1,Round_spermatid
6,3,Leydig
14,1,Elongated_spermatid
10,1,Round_spermatid
10,1,Elongated_spermatid
1,5,Late_spermatocyte
1,5,Late_spermatocyte
6,3,Leydig
10,1,Round_spermatid
13,2,Sperm1
4,4,Early_spermatocyte
2,10,SSC
4,4,Early_spermatocyte
2,10,SSC
12,11,Elongated_spermatid
13,2,Sperm1
13,0,Sperm2
6,3,Leydig
11,1,Sertoli
3,6,Spermatogonia
1,5,Late_spermatocyte
6,3,Leydig
4,4,Early_spermatocyte
6,3,Leydig
13,0,Sperm2
2,10,SSC
6,3,Leydig
10,1,Elongated_spermatid
2,10,SSC
13,0,Sperm2
12,11,Elongated_spermatid
13,2,Elongated_spermatid
12,11,Elongated_spermatid
0,8,Macrophage
2,10,SSC
4,4,Early_spermatocyte
3,6,Spermatogonia
4,4,Early_spermatocyte
3,6,Early_spermatocyte
10,1,Elongated_spermatid
4,4,Early_spermatocyte
13,0,Sperm2
13,0,Sperm2
4,4,Early_spermatocyte
5,9,Myoid
13,0,Sperm2
4,4,Early_spermatocyte
13,0,Sperm2
13,0,Sperm2
0,8,Macrophage
2,10,SSC
12,11,Elongated_spermatid
8,7,Endothelial
8,7,Endothelial
1,5,Late_spermatocyte
10,1,Elongated_spermatid
10,1,Elongated_spermatid
12,11,Elongated_spermatid
8,7,Endothelial
4,4,Early_spermatocyte
4,4,Early_spermatocyte
2,10,SSC
13,2,Sperm1
12,11,Elongated_spermatid
4,4,Early_spermatocyte
6,3,Leydig
4,4,Early_spermatocyte
2,10,SSC
13,2,Sperm1
13,0,Sperm2
5,9,Myoid
4,4,Early_spermatocyte
10,1,Elongated_spermatid
3,6,Spermatogonia
8,7,Endothelial
6,3,Leydig
13,2,Sperm1
10,1,Round_spermatid
2,10,SSC
10,1,Round_spermatid
2,10,SSC
1,5,Late_spermatocyte
3,6,Early_spermatocyte
0,8,Macrophage
13,2,Sperm1
13,0,Sperm2
1,5,Late_spermatocyte
1,5,Late_spermatocyte
10,1,Elongated_spermatid
0,8,Macrophage
4,4,Early_spermatocyte
10,1,Elongated_spermatid
4,4,Early_spermatocyte
1,5,Late_spermatocyte
13,0,Sperm2
3,6,Spermatogonia
3,6,Spermatogonia
6,3,Leydig
1,5,Late_spermatocyte
2,10,SSC
13,2,Sperm1
3,6,Spermatogonia
13,2,Sperm1
13,2,Sperm1
3,6,Spermatogonia
3,6,Spermatogonia
10,1,Round_spermatid
4,4,Early_spermatocyte
13,2,Sperm1
3,6,Spermatogonia
3,6,Spermatogonia
14,2,Sperm2
13,2,Sperm2
1,5,Late_spermatocyte
3,6,Spermatogonia
10,1,Elongated_spermatid
4,4,Early_spermatocyte
1,5,Late_spermatocyte
6,3,Leydig
13,0,Sperm2
13,0,Sperm2
13,0,Sperm2
13,2,Sperm1
13,0,Sperm2
4,4,Early_spermatocyte
13,2,Sperm1
10,1,Round_spermatid
13,2,Elongated_spermatid
2,10,SSC
4,4,Early_spermatocyte
10,1,Round_spermatid
4,4,Early_spermatocyte
3,6,Spermatogonia
2,10,SSC
3,6,Early_spermatocyte
1,5,Late_spermatocyte
2,10,SSC
4,4,Early_spermatocyte
13,2,Sperm1
2,10,SSC
3,6,Spermatogonia
3,6,Late_spermatocyte
13,2,Sperm2
13,0,Sperm2
2,10,SSC
6,3,Leydig
4,4,Early_spermatocyte
0,8,Macrophage
8,7,Endothelial
13,0,Sperm2
4,4,Early_spermatocyte
13,0,Sperm2
3,6,Spermatogonia
2,10,SSC
1,5,Late_spermatocyte
11,1,Sertoli
0,8,Macrophage
4,4,Early_spermatocyte
13,2,Sperm1
11,1,Sertoli
1,5,Late_spermatocyte
2,10,SSC
13,0,Sperm2
1,5,Late_spermatocyte
3,6,Spermatogonia
10,1,Round_spermatid
1,5,Late_spermatocyte
4,4,Early_spermatocyte
6,3,Leydig
3,6,Spermatogonia
1,5,Late_spermatocyte
6,3,Leydig
3,6,Spermatogonia
14,1,Elongated_spermatid
4,4,Early_spermatocyte
10,1,Elongated_spermatid
13,2,Sperm2
13,2,Sperm1
3,6,Spermatogonia
5,9,Myoid
10,1,Round_spermatid
4,4,Early_spermatocyte
6,3,Leydig
3,6,Early_spermatocyte
2,10,SSC
13,2,Sperm2
10,1,Round_spermatid
13,2,Sperm1
1,5,Late_spermatocyte
4,4,Early_spermatocyte
3,6,Spermatogonia
3,6,Spermatogonia
1,5,Late_spermatocyte
3,6,Spermatogonia
13,0,Sperm2
0,8,Macrophage
12,11,Elongated_spermatid
1,5,Round_spermatid
13,2,Sperm1
13,0,Sperm2
4,4,Early_spermatocyte
2,10,SSC
13,0,Sperm2
10,1,Elongated_spermatid
10,1,Elongated_spermatid
3,6,Early_spermatocyte
13,2,Sperm1
13,2,Sperm1
13,0,Sperm2
2,10,SSC
13,2,Sperm1
10,1,Elongated_spermatid
12,11,Sperm1
10,1,Elongated_spermatid
1,5,Late_spermatocyte
13,0,Sperm2
13,0,Sperm2
2,10,SSC
2,10,SSC
13,2,Sperm1
6,3,Leydig
10,1,Round_spermatid
10,1,Round_spermatid
13,0,Sperm2
3,6,Spermatogonia
13,2,Sperm1
6,3,Leydig
3,6,Spermatogonia
8,7,Endothelial
13,0,Sperm2
4,4,Early_spermatocyte
10,1,Elongated_spermatid
4,4,Early_spermatocyte
3,6,Spermatogonia
13,0,Sperm2
6,3,Leydig
1,5,Late_spermatocyte
4,4,Late_spermatocyte
2,10,SSC
3,6,Spermatogonia
10,1,Elongated_spermatid
4,4,Early_spermatocyte
13,2,Sperm1
0,8,Macrophage
13,0,Sperm2
6,3,Leydig
1,5,Late_spermatocyte
8,7,Endothelial
13,0,Sperm2
0,8,Macrophage
1,5,Late_spermatocyte
2,10,SSC
13,2,Sperm2
9,7,Myoid
13,0,Sperm2
13,0,Sperm2
10,1,Round_spermatid
2,10,SSC
1,5,Late_spermatocyte
13,2,Sperm1
12,11,Elongated_spermatid
1,5,Late_spermatocyte
6,3,Leydig
10,1,Round_spermatid
10,1,Round_spermatid
6,3,Leydig
13,0,Sperm2
13,0,Sperm2
13,0,Sperm2
6,3,Leydig
2,10,SSC
4,4,Early_spermatocyte
2,10,SSC
13,0,Sperm2
0,8,Macrophage
4,4,Early_spermatocyte
13,0,Sperm2
10,1,Round_spermatid
0,8,Macrophage
8,7,Endothelial
3,6,Spermatogonia
4,4,Early_spermatocyte
4,4,Early_spermatocyte
13,0,Sperm2
1,5,Late_spermatocyte
3,6,Spermatogonia
13,0,Sperm2
3,6,Early_spermatocyte
3,6,Spermatogonia
3,6,Spermatogonia
4,4,Early_spermatocyte
2,10,SSC
8,7,Endothelial
3,6,Spermatogonia
6,3,Leydig
3,6,Spermatogonia
12,11,Elongated_spermatid
4,4,Early_spermatocyte
12,11,Elongated_spermatid
13,0,Sperm2
0,8,Macrophage
10,1,Round_spermatid
4,4,Early_spermatocyte
1,5,Late_spermatocyte
10,1,Elongated_spermatid
3,6,Spermatogonia
13,2,Sperm1
13,0,Sperm2
6,3,Leydig
8,7,Endothelial
3,6,Spermatogonia
10,1,Elongated_spermatid
3,6,Spermatogonia
4,4,Early_spermatocyte
4,4,Early_spermatocyte
3,6,Early_spermatocyte
6,3,Leydig
1,5,Round_spermatid
13,2,Sperm1
8,7,Endothelial
13,0,Sperm2
3,6,Spermatogonia
13,2,Sperm1
13,0,Sperm2
6,3,Leydig
1,5,Late_spermatocyte
2,10,SSC
13,0,Sperm2
2,10,SSC
8,7,Endothelial
13,0,Sperm2
13,2,Sperm1
4,4,Early_spermatocyte
1,5,Late_spermatocyte
13,0,Sperm2
2,10,SSC
12,11,Elongated_spermatid
3,6,Spermatogonia
10,1,Elongated_spermatid
3,6,Spermatogonia
8,7,Endothelial
12,11,Elongated_spermatid
10,1,Elongated_spermatid
13,2,Sperm1
1,5,Late_spermatocyte
4,4,Early_spermatocyte
13,2,Sperm1
2,10,SSC
13,2,Sperm1
6,3,Leydig
4,4,Early_spermatocyte
2,10,SSC
13,0,Sperm2
6,3,Leydig
13,0,Sperm2
13,2,Myoid
8,7,Endothelial
6,3,Leydig
13,2,Sperm2
13,2,Sperm1
3,6,Spermatogonia
10,1,Round_spermatid
14,0,Sperm2
6,3,Leydig
2,10,SSC
12,11,Elongated_spermatid
13,0,Sperm2
6,3,Leydig
0,8,Macrophage
3,6,SSC
8,7,Endothelial
13,0,Sperm1
8,7,Endothelial
6,3,Leydig
4,4,Early_spermatocyte
6,3,Leydig
4,4,Early_spermatocyte
4,4,Early_spermatocyte
6,3,Leydig
3,6,Spermatogonia
6,3,Leydig
10,1,Round_spermatid
6,3,Leydig
13,2,Sperm1
0,8,Macrophage
4,4,Early_spermatocyte
4,4,Early_spermatocyte
3,6,Spermatogonia
12,11,Elongated_spermatid
13,0,Sperm2
1,5,Late_spermatocyte
13,2,Sperm2
2,10,SSC
12,11,Elongated_spermatid
13,0,Sperm2
13,0,Sperm2
3,6,Spermatogonia
4,4,Early_spermatocyte
13,0,Sperm2
13,0,Sperm2
13,2,Sperm1
3,6,Spermatogonia
4,4,Early_spermatocyte
6,3,Leydig
13,0,Sperm2
3,6,Spermatogonia
0,8,Macrophage
13,2,Sperm1
2,10,SSC
4,4,Early_spermatocyte
4,4,Early_spermatocyte
0,8,Macrophage
4,4,Early_spermatocyte
3,6,Spermatogonia
2,10,SSC
3,6,Spermatogonia
10,1,Round_spermatid
13,2,Sperm1
8,7,Endothelial
7,12,Myoid
1,5,Late_spermatocyte
13,0,Sperm2
4,4,Early_spermatocyte
2,10,SSC
6,3,Leydig
4,4,Early_spermatocyte
6,3,Leydig
0,8,Macrophage
5,9,Myoid
3,6,Spermatogonia
12,11,Elongated_spermatid
6,3,Leydig
3,6,Spermatogonia
13,2,Sperm1
13,2,Sperm1
6,3,Leydig
3,6,Spermatogonia
3,6,Spermatogonia
2,10,SSC
13,2,Sperm1
3,6,Spermatogonia
1,5,Late_spermatocyte
2,10,SSC
4,4,Early_spermatocyte
12,11,Elongated_spermatid
2,10,SSC
6,3,Leydig
13,0,Sperm2
1,5,Late_spermatocyte
3,6,Spermatogonia
13,2,Sperm1
10,1,Elongated_spermatid
2,10,SSC
6,3,Leydig
10,1,Round_spermatid
0,8,Macrophage
3,6,Spermatogonia
0,8,Macrophage
0,8,Macrophage
4,4,Early_spermatocyte
1,5,Late_spermatocyte
4,4,Early_spermatocyte
13,2,Sperm1
13,2,Sperm1
13,2,Sperm1
13,0,Sperm2
4,4,Early_spermatocyte
10,1,Elongated_spermatid
6,3,Leydig
10,1,Elongated_spermatid
13,0,Sperm2
4,4,Early_spermatocyte
13,0,Sperm2
4,4,Early_spermatocyte
12,11,Elongated_spermatid
13,0,Sperm2
10,1,Round_spermatid
13,0,Sperm2
6,3,Leydig
13,0,Sperm2
13,0,Sperm2
3,6,Spermatogonia
10,1,Round_spermatid
5,9,Myoid
1,5,Late_spermatocyte
3,6,Early_spermatocyte
3,6,Spermatogonia
5,9,Myoid
12,11,Elongated_spermatid
3,6,Spermatogonia
14,7,Endothelial
6,3,Leydig
8,7,Endothelial
0,8,Macrophage
8,7,Endothelial
6,3,Leydig
4,4,Early_spermatocyte
4,4,Early_spermatocyte
13,0,Sperm2
1,5,Late_spermatocyte
2,10,SSC
10,1,Elongated_spermatid
4,4,Early_spermatocyte
13,0,Sperm2
10,1,Elongated_spermatid
3,6,Spermatogonia
0,8,Macrophage
4,4,Early_spermatocyte
4,4,Early_spermatocyte
0,8,Macrophage
12,11,Elongated_spermatid
6,3,Leydig
13,2,Sperm1
13,0,Sperm2
6,3,Leydig
0,8,Macrophage
6,3,Leydig
6,3,Leydig
13,0,Sperm2
12,11,Elongated_spermatid
4,4,Late_spermatocyte
4,4,Early_spermatocyte
6,3,Leydig
3,6,Spermatogonia
1,5,Late_spermatocyte
2,10,SSC
4,4,Early_spermatocyte
13,2,Sperm1
2,10,SSC
10,1,Elongated_spermatid
11,1,Sertoli
13,0,Sperm2
0,8,Macrophage
13,2,Sperm1
6,3,Leydig
12,11,Elongated_spermatid
12,11,Elongated_spermatid
3,6,Spermatogonia
6,3,Leydig
13,0,Sperm2
3,6,Spermatogonia
1,5,Late_spermatocyte
6,3,Leydig
13,2,Sperm1
3,6,Spermatogonia
13,0,Sperm2
0,8,Macrophage
4,4,Early_spermatocyte
12,11,Elongated_spermatid
10,1,Round_spermatid
13,0,Sperm2
4,4,Early_spermatocyte
10,1,Elongated_spermatid
6,3,Leydig
3,6,Spermatogonia
1,5,Late_spermatocyte
1,5,Late_spermatocyte
4,4,Early_spermatocyte
4,4,Early_spermatocyte
2,10,SSC
3,6,Spermatogonia
4,4,Early_spermatocyte
10,1,Elongated_spermatid
6,3,Leydig
13,0,Sperm2
13,0,Sperm1
13,0,Sperm2
13,2,Sperm1
10,1,Round_spermatid
10,1,Round_spermatid
13,2,Sperm1
1,5,Late_spermatocyte
1,5,Late_spermatocyte
6,3,Leydig
13,2,Sperm1
13,2,Elongated_spermatid
5,9,Myoid
0,8,Macrophage
10,1,Round_spermatid
8,7,Endothelial
13,0,Sperm2
5,9,Myoid
6,3,Leydig
13,0,Sperm2
6,3,Leydig
13,0,Sperm2
13,2,Sperm1
6,3,Leydig
13,0,Sperm1
6,3,Leydig
13,2,Sperm1
3,6,Spermatogonia
10,1,Round_spermatid
4,4,Early_spermatocyte
0,8,Macrophage
13,2,Sperm1
13,0,Sperm2
11,1,Sertoli
8,7,Endothelial
13,0,Sperm2
4,4,Early_spermatocyte
10,1,Elongated_spermatid
13,0,Sperm2
2,10,SSC
1,5,Late_spermatocyte
12,11,Elongated_spermatid
8,7,Endothelial
6,3,Leydig
2,10,SSC
3,6,Spermatogonia
13,0,Sperm2
4,4,Early_spermatocyte
4,4,Early_spermatocyte
2,10,SSC
5,9,Myoid
0,8,Macrophage
13,0,Sperm2
10,1,Elongated_spermatid
10,1,Elongated_spermatid
8,7,Endothelial
13,0,Sperm2
3,6,Spermatogonia
6,3,Leydig
3,6,Spermatogonia
3,6,Spermatogonia
4,4,Early_spermatocyte
13,0,Sperm2
4,4,Early_spermatocyte
13,0,Sperm2
12,11,Elongated_spermatid
8,7,Endothelial
6,3,Leydig
0,8,Macrophage
4,4,Early_spermatocyte
13,2,Sperm1
3,6,Spermatogonia
4,4,Early_spermatocyte
13,0,Sperm2
13,2,Sperm2
13,2,Sperm1
6,3,Elongated_spermatid
13,2,Sperm1
10,1,Elongated_spermatid
6,3,Leydig
2,10,SSC
12,11,Elongated_spermatid
13,2,Sperm1
13,2,Sperm2
13,2,Sperm1
13,2,Sperm2
2,10,SSC
1,5,Late_spermatocyte
3,6,Spermatogonia
1,5,Late_spermatocyte
4,4,Early_spermatocyte
13,0,Sperm2
4,4,Late_spermatocyte
4,4,Early_spermatocyte
13,0,Sperm2
13,2,Sperm1
10,1,Elongated_spermatid
13,0,Sperm2
13,2,Sperm1
10,1,Elongated_spermatid
13,0,Sperm2
2,10,SSC
12,11,Elongated_spermatid
2,10,SSC
10,1,Round_spermatid
3,6,Spermatogonia
13,2,Myoid
4,4,Early_spermatocyte
6,3,Sertoli
13,0,Sperm1
10,1,Elongated_spermatid
4,4,Early_spermatocyte
6,3,Leydig
13,0,Sperm2
2,10,SSC
13,2,Sperm1
13,2,Sperm1
10,1,Elongated_spermatid
2,10,SSC
1,5,Late_spermatocyte
3,6,Spermatogonia
0,8,Macrophage
2,10,SSC
13,2,Sperm1
5,9,Myoid
13,2,Sperm2
2,10,SSC
9,7,Endothelial
3,6,Spermatogonia
2,10,SSC
11,1,Sertoli
5,9,Myoid
0,8,Macrophage
12,11,Elongated_spermatid
13,0,Sperm2
3,6,Spermatogonia
11,1,Sertoli
6,3,Leydig
13,0,Sperm2
12,11,Elongated_spermatid
13,2,Sperm2
5,9,Myoid
1,5,Late_spermatocyte
4,4,Early_spermatocyte
12,11,Elongated_spermatid
8,7,Endothelial
13,2,Sperm1
4,4,Early_spermatocyte
10,1,Round_spermatid
8,7,Endothelial
3,6,Early_spermatocyte
6,3,Leydig
6,3,Leydig
13,0,Sperm2
13,0,Sperm2
1,5,Late_spermatocyte
8,7,Endothelial
0,8,Macrophage
6,3,Leydig
10,1,Round_spermatid
5,9,Myoid
13,2,Sperm1
2,10,SSC
10,1,Elongated_spermatid
3,6,Spermatogonia
13,0,Sperm2
13,2,Sperm1
1,5,Round_spermatid
13,2,Sperm1
12,11,Elongated_spermatid
6,3,Leydig
13,0,Sperm2
0,8,Macrophage
4,4,Early_spermatocyte
6,3,Leydig
0,8,Macrophage
4,4,Early_spermatocyte
10,1,Elongated_spermatid
3,6,Spermatogonia
4,4,Early_spermatocyte
4,4,Early_spermatocyte
13,0,Sperm2
0,8,Macrophage
13,2,Sperm1
10,1,Round_spermatid
13,2,Sperm2
8,7,Endothelial
6,3,Leydig
5,9,Myoid
4,4,Early_spermatocyte
4,4,Early_spermatocyte
4,4,Early_spermatocyte
8,7,Endothelial
1,5,Late_spermatocyte
12,11,Elongated_spermatid
12,11,Elongated_spermatid
4,4,Early_spermatocyte
11,1,Sertoli
4,4,Late_spermatocyte
4,4,Early_spermatocyte
3,6,Spermatogonia
1,5,Late_spermatocyte
10,1,Round_spermatid
4,4,Early_spermatocyte
10,1,Elongated_spermatid
13,0,Sperm2
6,3,Leydig
13,0,Sperm2
13,0,Sperm2
13,0,Sperm1
13,0,Sperm2
2,10,SSC
8,7,Endothelial
14,2,Sperm2
13,2,Sperm1
2,10,SSC
2,10,SSC
13,0,Sperm2
1,5,Late_spermatocyte
5,9,Myoid
3,6,Spermatogonia
10,1,Round_spermatid
6,3,Leydig
10,1,Round_spermatid
2,10,SSC
0,8,Macrophage
6,3,Leydig
13,0,Sperm2
13,0,Sperm2
12,11,Elongated_spermatid
6,3,Leydig
2,10,SSC
13,0,Sperm2
8,7,Endothelial
6,3,Leydig
12,11,Elongated_spermatid
6,3,Leydig
13,2,Sperm1
0,8,Macrophage
0,8,Macrophage
13,0,Sperm2
1,5,Round_spermatid
3,6,Early_spermatocyte
13,2,Sperm1
1,5,Late_spermatocyte
4,4,Early_spermatocyte
4,4,Myoid
12,11,Elongated_spermatid
10,1,Elongated_spermatid
13,0,Sperm2
4,4,Early_spermatocyte
6,3,Leydig
10,1,Elongated_spermatid
5,9,Myoid
6,3,Leydig
2,10,SSC
4,4,Late_spermatocyte
